,id,title,series,author,rating_count,review_count,number_of_pages,date_published,publisher,genre,isbn,description,awards,rating
0,136251,Harry Potter and the Deathly Hallows,Harry Potter,J.K. Rowling,3105877.0,71353.0,759.0,2007.0,Arthur A. Levine Books,Fantasy,0,1483,7,4.61
1,2767052,The Hunger Games,The Hunger Games,Suzanne Collins,7026399.0,179928.0,374.0,2008.0,Scholastic Press,Young Adult,1,1298,40,4.32
2,77203,The Kite Runner,Single,Khaled Hosseini,2654792.0,80553.0,371.0,2004.0,Riverhead Books,Fiction,0,1065,7,4.31
3,19063,The Book Thief,Single,Markus Zusak,2062051.0,121442.0,552.0,2006.0,Alfred A. Knopf,Historical,0,1383,19,4.38
4,1,Harry Potter and the Half-Blood Prince,Harry Potter,J.K. Rowling,2709343.0,44644.0,652.0,2006.0,Scholastic Inc.,Fantasy,0,1268,3,4.57
5,2,Harry Potter and the Order of the Phoenix,Harry Potter,J.K. Rowling,2795030.0,48406.0,870.0,2004.0,Scholastic Inc.,Fantasy,0,1189,8,4.5
7,128029,A Thousand Splendid Suns,Single,Khaled Hosseini,1270489.0,60116.0,372.0,2007.0,Riverhead Books,Fiction,1,1308,5,4.39
8,4214,Life of Pi,Single,Yann Martel,1439761.0,48783.0,460.0,2006.0,Seal Books,Fiction,1,695,9,3.92
9,6148028,Catching Fire,The Hunger Games,Suzanne Collins,2826112.0,101064.0,391.0,2009.0,Scholastic Press,Young Adult,1,1587,8,4.3
11,18619684,The Time Traveler's Wife,Single,Audrey Niffenegger,1659601.0,48769.0,500.0,2013.0,Zola Books,Fiction,0,1723,5,3.98
13,968,The Da Vinci Code,Robert Langdon,Dan Brown,2088968.0,49473.0,489.0,2006.0,Anchor,Fiction,0,1274,8,3.88
14,6288,The Road,Single,Cormac McCarthy,780952.0,48529.0,241.0,2006.0,Alfred A. Knopf,Fiction,1,1389,11,3.97
15,1618,The Curious Incident of the Dog in the Night-Time,Single,Mark Haddon,1303027.0,47342.0,226.0,2004.0,Vintage,Fiction,1,835,14,3.89
16,43641,Water for Elephants,Single,Sara Gruen,1468652.0,59858.0,335.0,2007.0,Algonquin Books,Fiction,1,1449,4,4.09
17,7260188,Mockingjay,The Hunger Games,Suzanne Collins,2611641.0,108113.0,398.0,2010.0,Scholastic Press,Young Adult,1,1372,5,4.05
18,2187,Middlesex,Single,Jeffrey Eugenides,607682.0,24000.0,529.0,2003.0,Picador USA,Fiction,1,1081,6,4.01
19,12232938,The Lovely Bones,Single,Alice Sebold,2144357.0,42081.0,372.0,2006.0,"Little, Brown and Company",Fiction,1,954,11,3.83
20,41865,Twilight,The Twilight Saga,Stephenie Meyer,5466680.0,111009.0,387.0,2006.0,"Little, Brown and Company",Young Adult,1,679,24,3.62
21,13335037,Divergent,Divergent,Veronica Roth,3259855.0,111516.0,487.0,2012.0,Katherine Tegen Books,Young Adult,1,1782,19,4.17
22,28187,The Lightning Thief,Percy Jackson and the Olympians,Rick Riordan,2287247.0,69765.0,377.0,2006.0,Disney Hyperion Books,Fantasy,0,1291,13,4.27
23,6867,Atonement,Single,Ian McEwan,472422.0,18556.0,351.0,2003.0,Anchor Books,Fiction,1,1035,10,3.91
24,1232,The Shadow of the Wind,El cementerio de los libros olvidados,Carlos Ruiz Zafón,531212.0,40698.0,487.0,2005.0,Penguin Books,Fiction,0,1011,8,4.27
25,30165203,American Gods,American Gods,Neil Gaiman,825177.0,41150.0,635.0,2011.0,William Morrow,Fantasy,0,986,12,4.1
27,37435,The Secret Life of Bees,Single,Sue Monk Kidd,1180852.0,31935.0,302.0,2003.0,Penguin Books,Fiction,1,1080,5,4.07
28,4588,Extremely Loud & Incredibly Close,Single,Jonathan Safran Foer,404681.0,23932.0,326.0,2006.0,Mariner Books,Fiction,1,1001,3,3.96
30,960,Angels & Demons,Robert Langdon,Dan Brown,2875168.0,30664.0,736.0,2006.0,Pocket Books,Fiction,1,1064,1,3.92
31,10917,My Sister's Keeper,Single,Jodi Picoult,1112818.0,34410.0,423.0,2005.0,Washington Square Press,Fiction,1,1859,5,4.08
32,6334,Never Let Me Go,Single,Kazuo Ishiguro,546680.0,36687.0,288.0,2010.0,Vintage Books,Fiction,1,1382,7,3.83
